panel,family,n,name,triadic,max_phi
family_n3,strict_med,3,W2_S2_C1,1,2.000000
family_n3,strict_med,3,W2_S8_C2,1,2.000000
family_n3,strict_med,3,W1_S2_C2,1,2.000000
family_n3,strict_med,3,W1_S4_C2,1,2.000000
family_n3,strict_med,3,W2_S4_C1,1,2.000000
family_n3,strict_med,3,W2_S9_C1,1,0.500000
family_n3,strict_med,3,W1_S7_C1,1,2.000000
family_n3,strict_med,3,W2_S13_C1,1,2.000000
family_n3,strict_med,3,W1_S9_C1,1,0.500000
family_n3,strict_med,3,W2_S9_C2,1,0.500000
family_n3,strict_med,3,W2_S11_C1,1,2.000000
family_n3,strict_med,3,W1_S8_C1,1,2.000000
family_n3,strict_med,3,W1_S6_C2,1,0.500000
family_n3,strict_med,3,W2_S6_C2,1,0.500000
family_n3,strict_med,3,W1_S11_C2,1,2.000000
family_n3,strict_med,3,W2_S14_C2,1,2.000000
family_n3,strict_med,3,W1_S6_C1,1,0.500000
family_n3,strict_med,3,W2_S6_C1,1,0.500000
family_n3,strict_med,3,W1_S13_C2,1,2.000000
family_n3,strict_med,3,W1_S1_C1,1,2.000000
family_n3,strict_med,3,W1_S14_C1,1,2.000000
family_n3,strict_med,3,W2_S7_C2,1,2.000000
family_n3,strict_med,3,W2_S1_C2,1,2.000000
family_n3,strict_med,3,W1_S9_C2,1,0.500000
family_n3,strict_med,3,W3_S2_C2,0,0.000000
family_n3,strict_med,3,W1_S2_C3,0,0.000000
family_n3,strict_med,3,W2_S5_C1,0,0.000000
family_n3,strict_med,3,W1_S0_C0,0,0.000000
family_n3,strict_med,3,W1_S1_C3,0,0.000000
family_n3,strict_med,3,W1_S11_C0,0,0.000000
family_n3,strict_med,3,W2_S1_C3,0,0.000000
family_n3,strict_med,3,W3_S12_C0,0,0.000000
family_n3,strict_med,3,W1_S14_C0,0,0.000000
family_n3,strict_med,3,W1_S14_C3,0,0.000000
family_n3,strict_med,3,W2_S10_C2,0,0.000000
family_n3,strict_med,3,W2_S5_C3,0,0.000000
family_n3,strict_med,3,W3_S14_C3,0,0.000000
family_n3,strict_med,3,W1_S13_C1,0,0.000000
family_n3,strict_med,3,W2_S15_C3,0,0.000000
family_n3,strict_med,3,W2_S6_C3,0,0.000000
family_n3,strict_med,3,W3_S7_C2,0,0.000000
family_n3,strict_med,3,W1_S6_C0,0,0.000000
family_n3,strict_med,3,W1_S11_C1,0,0.000000
family_n3,strict_med,3,W3_S0_C1,0,0.000000
family_n3,strict_med,3,W0_S11_C0,0,0.000000
family_n3,strict_med,3,W3_S4_C2,0,0.000000
family_n3,strict_med,3,W2_S3_C0,0,0.000000
family_n3,strict_med,3,W0_S1_C1,0,0.000000
multifamily,chain,3,chain_and_n3,1,2.000000
multifamily,chain,3,chain_ff_n3,0,0.000000
multifamily,pool,3,pool_and_n3,1,6.000000
multifamily,pool,3,pool_or_n3,1,6.000000
multifamily,single_hub,3,and_hub_n3,1,2.000000
multifamily,single_hub,3,broken_hub_n3,0,0.000000
multifamily,or_hub,3,or_hub_n3,1,2.000000
multifamily,parity_hub,3,parity_hub_n3,1,0.500000
multifamily,broadcast,3,broadcast_n3,0,0.000000
multifamily,majority,3,maj_n3,1,2.000000
multifamily,majority,3,thresh1_n3,1,2.000000
multifamily,chain,4,chain_and_n4,1,2.000000
multifamily,chain,4,chain_ff_n4,0,0.000000
multifamily,pool,4,pool_and_n4,1,12.000000
multifamily,pool,4,pool_or_n4,1,12.000000
multifamily,single_hub,4,and_hub_n4,1,3.000000
multifamily,single_hub,4,broken_hub_n4,0,0.000000
multifamily,or_hub,4,or_hub_n4,1,3.000000
multifamily,parity_hub,4,parity_hub_n4,1,0.250000
multifamily,broadcast,4,broadcast_n4,0,0.000000
multifamily,majority,4,maj_n4,0,0.000000
multifamily,majority,4,thresh1_n4,1,3.000000
multifamily,two_hub,4,two_hub_n4,1,2.000000
